Letters  |Std Dstrb|CyphDstrb|Std %|Cyph %
    a    |0.0651738|0.0244115| 6.52| 2.44
    b    |0.0124248|0.0374891| 1.24| 3.75
    c    |0.0217339|0.1098518| 2.17|10.99
    d    |0.0349835|0.0130776| 3.50| 1.31
    e    |0.1041442|0.0688753|10.41| 6.89
    f    |0.0197881|0.0697472| 1.98| 6.97
    g    |0.0158610|0.0671316| 1.59| 6.71
    h    |0.0492888|0.0113339| 4.93| 1.13
    i    |0.0558094|0.0889276| 5.58| 8.89
    j    |0.0009033|0.0270270| 0.09| 2.70
    k    |0.0050529|0.0366173| 0.51| 3.66
    l    |0.0331490|0.1438535| 3.31|14.39
    m    |0.0202124|0.0505667| 2.02| 5.06
    n    |0.0564513|0.0008718| 5.65| 0.09
    o    |0.0596302|0.0592851| 5.96| 5.93
    p    |0.0137645|0.0000000| 1.38| 0.00
    q    |0.0008606|0.0244115| 0.09| 2.44
    r    |0.0497563|0.0209241| 4.98| 2.09
    s    |0.0515760|0.0235397| 5.16| 2.35
    t    |0.0729357|0.0183086| 7.29| 1.83
    u    |0.0225134|0.0802092| 2.25| 8.02
    v    |0.0082903|0.0000000| 0.83| 0.00
    w    |0.0171272|0.0087184| 1.71| 0.87
    x    |0.0013692|0.0026155| 0.14| 0.26
    y    |0.0145984|0.0122058| 1.46| 1.22
    z    |0.0007836|0.0000000| 0.08| 0.00
